Pozycja,Zawodnik,Suma_Punktów,Styczen,Top8_Punktów,Luty,Marzec,Kwiecien,Maj_a,Maj_b,Czerwiec,Lipiec,Sierpien
1,POTULLL,140,12,140,2,25,26,0,12,26,12,25
2,HUBERT CH,124,15,124,25,12,15,0,15,12,18,12
3,OSKI96,109,25,109,15,1,18,0,26,8,0,16
4,KORNEL P.,97,4,97,12,15,12,0,10,18,26,0
5,JORDAN K,86,0,86,18,0,10,0,18,15,15,10
6,MICHAŁ W.,56,19,56,6,19,6,0,0,0,0,6
7,ZĄBEK_B,52,10,52,0,0,2,0,8,6,8,18
8,MIKOŁAJ T.,39,6,39,10,8,8,0,6,1,0,0
9,W PIOTR,26,0,26,0,0,0,25,0,0,1,0
10,M_C,26,0,26,0,0,4,0,4,0,10,8
11,GRZEGORZ T.,23,0,23,0,0,0,19,0,0,4,0
12,SCOOBANY635,17,2,17,1,4,0,0,0,10,0,0
13,TOMASZ K.,15,0,15,0,0,0,15,0,0,0,0
14,KAMIL K.,15,0,15,8,0,0,0,0,0,6,1
15,Remi S.,12,0,12,0,0,0,12,0,0,0,0
16,MICHAŁ B.,12,0,12,0,0,0,10,0,0,2,0
17,RAFAŁ G,10,0,10,0,10,0,0,0,0,0,0
18,TOMASZ W,8,8,8,0,0,0,0,0,0,0,0
19,Sebastian R.,8,0,8,0,0,0,8,0,0,0,0
20,KOWAL123,8,0,8,0,6,0,0,0,2,0,0
21,Adam Kas.,6,0,6,0,0,0,6,0,0,0,0
22,GOOOF,4,0,4,4,0,0,0,0,0,0,0
23,Krzysztof Ś.,4,0,4,0,0,0,4,0,0,0,0
24,MACIEJ K,4,0,4,0,0,0,0,0,4,0,0
25,MACIEJ K.,4,0,4,0,0,0,0,0,0,0,4
26,RAFAŁ M.,3,0,3,0,0,1,0,2,0,0,0
27,ORZEL_,2,1,2,1,0,0,0,0,0,0,0
28,KLOBUCH,2,0,2,0,2,0,0,0,0,0,0
29,Jowita Z.,2,0,2,0,0,0,2,0,0,0,0
30,KRZYSZTOF B.,2,0,2,0,0,0,0,0,0,0,2
31,ADAMWOL,0,0,0,0,0,0,0,0,0,0,0
32,MICHAŁ G.,0,0,0,0,0,0,0,0,0,0,0
33,MAALGOSIA,0,0,0,0,0,0,0,0,0,0,0
34,MEJX,0,0,0,0,0,0,0,0,0,0,0
35,CZARNY MIKI,0,0,0,0,0,0,0,0,0,0,0
